"","Easting","Northing","PA","plot","subplot","top_sub","mid_sub","year","ARVI","EVI","NDLI","NDNI","NDVI","PRI","SAVI","NDII","NDWI","NMDI","MSI","WBI"
"1",450176.105399925,4433737.38132638,0,"NIWO_018","31.1.10","31","1","2017",0.165908737108111,0.202661269344389,0.0156896002590656,0.0538271286059171,0.337409615516663,-0.0830414975062013,0.207177212461829,-0.15039027063176,-0.142921351827681,0.531783768907189,1.29523534327745,0.957951098680496
"2",450186.105399925,4433747.38132638,0,"NIWO_018","31.4.10","31","4","2017",0.274455756880343,0.271039677783847,0.0266152757685632,0.081324091879651,0.4551906529814,-0.0902066673152149,0.283784573897719,-0.105705398134887,-0.142632836010307,0.409852501004934,1.16884315758944,0.957465745508671
"3",450196.105399925,4433737.38132638,0,"NIWO_018","32.2.10","32","2","2017",0.158500434365124,0.211098951287568,0.0174025609740056,0.0621529030613601,0.335230585187674,-0.0865430478006601,0.216056864708662,-0.113072522450238,-0.126793075818568,0.535995982587337,1.19932954013348,0.962172910571098
"4",450196.105399925,4433747.38132638,0,"NIWO_018","32.4.10","32","4","2017",0.166630321182311,0.209416935220361,0.0172973311855458,0.0631927454378456,0.340107209980488,-0.0907991924323142,0.214033579453826,-0.119521218817681,-0.127976855263114,0.521450147032738,1.20987991243601,0.963808320462704
"5",450176.105399925,4433747.38132638,0,"NIWO_018","40.1.10","40","1","2017",0.279558412730694,0.287339966744184,0.0295944024110213,0.0928472452796996,0.47169635258615,-0.0987911494448781,0.305120568722486,-0.0765612827381119,-0.141913724597543,0.392773160710931,1.0892561301589,0.952737864106894
"6",450176.105399925,4433757.38132638,0,"NIWO_018","41.1.10","41","1","2017",0.288563237525523,0.28461798466742,0.0263353345217183,0.0829995358362794,0.464122964069247,-0.0876160976476967,0.294738793745637,-0.0867869954090565,-0.131907314993441,0.434280179440975,1.12168728560209,0.962097320705652
"7",450176.105399925,4433757.38132638,0,"NIWO_018","41.4.10","41","4","2017",0.28307287581265,0.278097803704441,0.0260910914512351,0.0796754783950746,0.459405913949013,-0.0908962390385568,0.288679074496031,-0.107592757791281,-0.140292647760361,0.428079921752214,1.17258661985397,0.955328788608313
"8",450176.105399925,4433757.38132638,0,"NIWO_018","40.3.10","40","3","2017",0.263397101312876,0.267076921649277,0.0238101067952812,0.0748358257114887,0.440376592800021,-0.0887192175723612,0.276942045427859,-0.115863649640232,-0.1447663763538,0.432000122964382,1.19642251729965,0.953366249799728
"9",451574.764055898,4433957.90382035,1,"NIWO_008","32.4.10","32","4","2017",0.243907297030091,0.239017922431231,0.0241468005115166,0.0930144777521491,0.414773467928171,-0.0815576114691794,0.246949828229845,-0.157073685899377,-0.145771330222487,0.355866767466068,1.27216840535402,0.957676522433758
"10",451554.764055898,4433967.90382035,0,"NIWO_008","40.3.10","40","3","2017",0.274534178897738,0.267181508243084,0.0252348389476538,0.0911752027459443,0.437718130648136,-0.0782398395240307,0.271401824429631,-0.0918835538905114,-0.114824431948364,0.416810499504209,1.11624629795551,0.975207049399614
"11",451554.764055898,4433957.90382035,0,"NIWO_008","40.1.10","40","1","2017",0.315029691904783,0.294249514117837,0.0267640799283981,0.0986576406285167,0.468421587720513,-0.0769936610013247,0.294587552547455,-0.0617171592602972,-0.104026790242642,0.433410163968801,1.05026823654771,0.983094546943903
"12",450176.105399925,4433757.38132638,1,"NIWO_008","41.1.10","41","1","2017",0.288563237525523,0.28461798466742,0.0263353345217183,0.0829995358362794,0.464122964069247,-0.0876160976476967,0.294738793745637,-0.0867869954090565,-0.131907314993441,0.434280179440975,1.12168728560209,0.962097320705652
"13",451574.764055898,4433947.90382035,0,"NIWO_008","32.2.10","32","2","2017",0.321605606935918,0.311137119308114,0.0286495957989246,0.0992218339815736,0.477309437468648,-0.0815869253128767,0.311026614159346,-0.0451204670753214,-0.098474201746285,0.436694491654634,1.01689404249191,0.979972824454308
