"","Easting","Northing","PA","plot","top_sub","mid_sub","middle","year","ARVI","EVI","NDLI","NDNI","NDVI","PRI","SAVI","NDII","NDWI","NMDI","MSI","WBI","slope","aspect"
"622",449365.022532774,4434288.30654466,1,"NIWO_028","40","40.1","1","2018",0.580261554569006,0.42861370742321,0.0344461367931217,0.117988270241767,0.678565381094813,-0.0642151397187263,0.416295370087028,0.171929802047089,-0.0340045362245291,0.493564065545797,0.645325928926468,0.996303014457226,14.0116251111031,64.2137501239777
"623",450115.658127662,4434248.36456525,1,"NIWO_024","31","31.1","1","2018",0.273436942312401,0.249903698917478,0.0196284549601842,0.0830933402758092,0.399235021322966,-0.0643604788929224,0.240482988767326,-0.0665417280397378,-0.105641296715476,0.476374568417668,1.12354972958565,0.959738817065954,11.2356249094009,42.7189998626709
"624",450115.658127662,4434268.36456525,1,"NIWO_024","40","40.3","3","2018",0.385928776115179,0.321936327964067,0.0279109496623278,0.102269335184246,0.510263971984386,-0.0667714283335954,0.312406167387962,0.0379816968343221,-0.0590743757784367,0.478167833760381,0.854301460087299,0.978296920657158,11.0508124828339,36.5819376707077
"625",450125.658127662,4434258.36456525,1,"NIWO_024","31","31.4","4","2018",0.376153668388724,0.316046136431396,0.0269733454333618,0.0979913300834596,0.500164456665516,-0.0670648408122361,0.306309747509658,0.0234042993397452,-0.0758019480854273,0.469744207337499,0.888169717043638,0.972121737897396,9.93606245517731,52.3811872005463
"626",449385.022532774,4434288.30654466,1,"NIWO_028","32","32.4","4","2018",0.299881437793374,0.295576266944408,0.0252659841207787,0.0839167959056795,0.436633747071028,-0.0677626114338636,0.284405914135277,0.0306794860516675,-0.0615499061532319,0.534745186567307,0.887477215379477,0.975327719002962,20.4730001688004,72.2120001316071
"627",449385.022532774,4434278.30654466,1,"NIWO_028","32","32.2","2","2018",0.143687541858526,0.192672825418413,0.0154452263377607,0.0578412931645289,0.281376178376377,-0.0666234935633838,0.182813540566713,-0.0296725059815799,-0.0641172316391021,0.650615837424994,1.01969144120812,0.967307176440954,17.8909374475479,85.8824377059937
"628",451195.76974772,4433426.2069345,1,"NIWO_026","40","40.3","3","2018",0.301150074228644,0.242159863933921,0.0218124443781562,0.0761208536569029,0.44455692730844,-0.0690758514683694,0.244527983479202,-0.105169698479585,-0.138165945652872,0.406893018633127,1.16346324235201,0.931341838091612,16.1192499399185,175.274813652039
"629",451205.76974772,4433416.2069345,1,"NIWO_026","31","31.4","4","2018",0.202194684185088,0.192635122686625,0.0141559073817916,0.0605881416704506,0.357998030260205,-0.0727741131559014,0.196116232313216,-0.162996253930032,-0.153819182887673,0.477233249694109,1.32516701519489,0.922247845679522,17.4695001840591,166.658374786377
"630",451604.147116245,4432508.7565738,0,"NIWO_017","32","32.2","2","2018",0.697863187640905,0.312878390774131,0.0316630968591198,0.0851351080927998,0.741163428872824,-0.0401417551911436,0.314098667353392,0.302235745184589,0.0273389242647681,0.567486949265003,0.498977461829782,1.05019060149789,14.379062473774,190.224313735962
"631",451584.147116245,4432518.7565738,0,"NIWO_017","40","40.1","1","2018",0.516134571284056,0.170430759200826,0.0218129128334112,0.0585792143829167,0.574225474148989,-0.042219502502121,0.178244487848133,0.106402636272833,-0.0445752029772848,0.499485230073333,0.791454866528511,1.01051520928741,10.925062417984,197.003249168396
"632",451594.147116245,4432518.7565738,0,"NIWO_017","31","31.4","4","2018",0.419119965285063,0.217377387452871,0.0216993566718884,0.0634937854483724,0.522926028817892,-0.0539639687631279,0.222388887312263,-0.0515379931312054,-0.112083015934331,0.452242340892553,1.15153678320348,0.981246098875999,10.5916875302792,205.75662612915
"633",451215.76974772,4433426.2069345,1,"NIWO_026","41","41.4","4","2018",0.20329265575856,0.209763381630182,0.0174182471819222,0.0719406236894429,0.364113884046674,-0.0771549311466515,0.212979853153229,-0.141335135325789,-0.143248377367854,0.436795853078365,1.25472042709589,0.928496923297644,19.7154375314713,158.290437698364
"634",451205.76974772,4433416.2069345,1,"NIWO_026","41","41.1","1","2018",0.243753705173731,0.213549910113215,0.0171492662047967,0.0658039674162865,0.392566779628396,-0.0699509354308248,0.215814027003944,-0.150609238538891,-0.154634112492204,0.428376771509647,1.28564608097076,0.922198809683323,17.5395002365112,161.662063598633
"635",451195.76974772,4433416.2069345,1,"NIWO_026","40","40.1","1","2018",0.29550813138485,0.236763026565313,0.0195666287909262,0.0745077044703066,0.441683758050203,-0.0700851671863347,0.240356408059597,-0.0988042019307613,-0.132072971668094,0.435261657461524,1.15446595847607,0.934978116303682,16.0998125076294,179.981499671936
"636",451215.76974772,4433416.2069345,1,"NIWO_026","32","32.4","4","2018",0.165745981037617,0.201441721059382,0.0148796005523764,0.0671481795143336,0.33752141520381,-0.0829659677110612,0.206241474486887,-0.130399887915701,-0.132692420389503,0.500678882002831,1.23656931519508,0.928345169872046,22.1782500743866,149.312252044678
"637",451215.76974772,4433406.2069345,1,"NIWO_026","32","32.2","2","2018",0.386646134778857,0.340922484174371,0.0329214071389288,0.103464649058878,0.554329046979547,-0.100358580239117,0.352795738726854,-0.0254897580598481,-0.133050734177232,0.380227077752352,0.97600718960166,0.925820089876652,11.7660624980927,156.153998374939
"638",451584.147116245,4432508.7565738,0,"NIWO_017","31","31.1","1","2018",0.598169393837452,0.232271977700293,0.0245218749041669,0.0663800775073469,0.647294165566564,-0.0400641663582064,0.236674713902175,0.224369798321277,0.00953521300107241,0.56384851410985,0.635277710855007,1.052484549582,13.5047500133514,193.52018737793
"639",451604.147116245,4432518.7565738,0,"NIWO_017","32","32.4","4","2018",0.447001311928034,0.228327676188201,0.0258037091698498,0.0661446249578148,0.520424586720765,-0.0384755694540218,0.226015025749803,0.0501231004018337,-0.0719822949904483,0.505499256774783,0.956739084795117,0.998548462986946,16.5540624260902,195.890686988831
"640",451584.147116245,4432528.7565738,0,"NIWO_017","40","40.3","3","2018",0.472864797338843,0.131624890025705,0.0182911890442483,0.0504292133264244,0.514949789270759,-0.0269010140618775,0.139376488979906,0.00243599014356732,-0.0827901381417178,0.476596217602491,0.992288986220956,0.993793923407793,18.1237498521805,201.277313232422
