LONGITUDE.,LATITUDE.x,GPS_ELEV,plot,UTM_E,UTM_N,2m Aug 1 S,Slope,Aspect
-105.588808,40.0550571,3531.503,19,449779.763,4434034.114,26.52045,5.89096,243.08888
-105.5894271,40.0551819,3530.359,18,449727.045,4434048.314,26.03878,1.90546,186.24016
-105.5899372,40.0552987,3528.725,17,449683.632,4434061.565,26.11304,3.18262,168.87747
-105.5905426,40.0553657,3532.149,16,449632.041,4434069.339,25.64428,3.07201,121.18718
-105.5910602,40.0555193,3537.023,15,449588.012,4434086.683,25.35098,5.13518,102.18633
-105.5916848,40.0556441,3542.575,14,449534.828,4434100.893,24.76772,10.45974,102.59618
-105.5921904,40.0557319,3548.872,13,449491.772,4434110.921,25.31947,8.99514,116.83929
-105.5927482,40.0558011,3558.653,12,449444.245,4434118.913,25.21161,11.81576,124.16066
-105.5934166,40.0559396,3569.739,11,449387.34,4434134.667,25.24237,12.25753,122.47682
-105.5878025,40.0543985,3539.433,101,449865.043,4433960.44,27.06757,9.46631,203.33179
-105.5883726,40.0545163,3533.715,10,449816.502,4433973.837,27.16662,11.06319,229.52643
-105.5889946,40.0546036,3527.382,9,449763.51,4433983.881,26.0535,1.88337,226.76138
-105.5894924,40.0547156,3528.187,8,449721.138,4433996.594,26.0166,1.63083,203.09732
-105.5901358,40.0548565,3528.356,7,449666.367,4434012.591,25.81532,2.29373,134.63577
-105.5907045,40.0549849,3531.087,6,449617.954,4434027.172,25.94742,5.57756,133.71461
-105.5912011,40.055083,3535.568,5,449575.671,4434038.334,25.67423,7.3118,127.8858
-105.5917597,40.0551863,3541.242,4,449528.105,4434050.12,25.38147,7.17842,113.54768
-105.5923075,40.0553183,3547.762,3,449481.473,4434065.079,25.39032,10.56311,121.48711
-105.5928959,40.0553968,3555.614,2,449431.347,4434074.133,25.52457,9.96455,126.23087
-105.5935123,40.0554977,3565.484,1,449378.853,4434085.675,25.43395,12.11272,127.59944
